ProductKey,Product Item Code,Product Name,Product Color,Product Size,Product Weight,Product Line,Product Model Name,Product Sub-Category,Product Category,Product Status
40,HJ-1420,Thin-Jam Hex Nut 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
41,HJ-1428,Thin-Jam Hex Nut 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
42,HJ-3410,Thin-Jam Hex Nut 15,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
43,HJ-3416,Thin-Jam Hex Nut 16,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
44,HJ-3816,Thin-Jam Hex Nut 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
45,HJ-3824,Thin-Jam Hex Nut 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
46,HJ-5161,Thin-Jam Hex Nut 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
47,HJ-5162,Thin-Jam Hex Nut 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
48,HJ-5811,Thin-Jam Hex Nut 13,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
49,HJ-5818,Thin-Jam Hex Nut 14,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
50,HJ-7161,Thin-Jam Hex Nut 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
51,HJ-7162,Thin-Jam Hex Nut 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
52,HJ-9080,Thin-Jam Hex Nut 12,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
53,HJ-9161,Thin-Jam Hex Nut 11,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
54,HN-1024,Hex Nut 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
55,HN-1032,Hex Nut 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
56,HN-1213,Hex Nut 16,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
57,HN-1220,Hex Nut 17,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
58,HN-1224,Hex Nut 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
59,HN-1420,Hex Nut 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
60,HN-1428,Hex Nut 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
61,HN-3410,Hex Nut 22,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
62,HN-3416,Hex Nut 23,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
63,HN-3816,Hex Nut 12,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
64,HN-3824,Hex Nut 13,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
65,HN-4402,Hex Nut 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
66,HN-5161,Hex Nut 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
67,HN-5162,Hex Nut 11,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
68,HN-5400,Hex Nut 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
69,HN-5811,Hex Nut 20,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
70,HN-5818,Hex Nut 21,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
71,HN-6320,Hex Nut 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
72,HN-7161,Hex Nut 14,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
73,HN-7162,Hex Nut 15,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
74,HN-8320,Hex Nut 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
75,HN-9161,Hex Nut 18,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
76,HN-9168,Hex Nut 19,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
77,HT-2981,Handlebar Tube,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
78,HT-8019,Head Tube,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
79,HU-6280,LL Hub,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
80,HU-8998,HL Hub,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
81,KW-4091,Keyed Washer,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
82,LE-1000,External Lock Washer 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
83,LE-1200,External Lock Washer 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
84,LE-1201,External Lock Washer 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
85,LE-1400,External Lock Washer 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
86,LE-3800,External Lock Washer 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
87,LE-5160,External Lock Washer 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
88,LE-6000,External Lock Washer 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
89,LE-7160,External Lock Washer 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
90,LE-8000,External Lock Washer 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
91,LI-1000,Internal Lock Washer 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
92,LI-1200,Internal Lock Washer 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
93,LI-1201,Internal Lock Washer 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
94,LI-1400,Internal Lock Washer 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
95,LI-3800,Internal Lock Washer 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
96,LI-5160,Internal Lock Washer 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
97,LI-5800,Internal Lock Washer 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
98,LI-6000,Internal Lock Washer 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
99,LI-7160,Internal Lock Washer 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
100,LI-8000,Internal Lock Washer 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
101,LJ-1213,Thin-Jam Lock Nut 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
102,LJ-1220,Thin-Jam Lock Nut 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
103,LJ-1420,Thin-Jam Lock Nut 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
104,LJ-1428,Thin-Jam Lock Nut 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
105,LJ-3410,Thin-Jam Lock Nut 15,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
106,LJ-3416,Thin-Jam Lock Nut 16,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
107,LJ-3816,Thin-Jam Lock Nut 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
108,LJ-3824,Thin-Jam Lock Nut 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
109,LJ-5161,Thin-Jam Lock Nut 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
110,LJ-5162,Thin-Jam Lock Nut 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
111,LJ-5811,Thin-Jam Lock Nut 13,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
112,LJ-5818,Thin-Jam Lock Nut 14,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
113,LJ-7161,Thin-Jam Lock Nut 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
114,LJ-7162,Thin-Jam Lock Nut 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
115,LJ-9080,Thin-Jam Lock Nut 12,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
116,LJ-9161,Thin-Jam Lock Nut 11,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
117,LN-1024,Lock Nut 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
118,LN-1032,Lock Nut 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
119,LN-1213,Lock Nut 16,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
120,LN-1220,Lock Nut 17,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
121,LN-1224,Lock Nut 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
122,LN-1420,Lock Nut 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
123,LN-1428,Lock Nut 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
124,LN-3410,Lock Nut 22,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
125,LN-3416,Lock Nut 23,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
126,LN-3816,Lock Nut 12,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
127,LN-3824,Lock Nut 13,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
128,LN-4400,Lock Nut 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
129,LN-5161,Lock Nut 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
130,LN-5162,Lock Nut 11,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
131,LN-5400,Lock Nut 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
132,LN-5811,Lock Nut 20,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
133,LN-5818,Lock Nut 21,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
134,LN-6320,Lock Nut 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
135,LN-7161,Lock Nut 14,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
136,LN-7162,Lock Nut 15,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
137,LN-8320,Lock Nut 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
138,LN-9080,Lock Nut 19,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
139,LN-9161,Lock Nut 18,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
140,LR-2398,Lock Ring,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
141,LR-8520,Lower Head Race,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
142,LW-1000,Lock Washer 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
143,LW-1200,Lock Washer 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
144,LW-1201,Lock Washer 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
145,LW-1400,Lock Washer 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
146,LW-3400,Lock Washer 13,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
147,LW-3800,Lock Washer 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
148,LW-4000,Lock Washer 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
149,LW-5160,Lock Washer 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
150,LW-5800,Lock Washer 12,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
151,LW-6000,Lock Washer 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
152,LW-7160,Lock Washer 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
153,LW-8000,Lock Washer 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
154,LW-9160,Lock Washer 11,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
155,MA-7075,Metal Angle,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
156,MB-2024,Metal Bar 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
157,MB-6061,Metal Bar 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
158,MP-2066,Metal Plate 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
159,MP-2503,Metal Plate 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
160,MP-4960,Metal Plate 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
161,MS-0253,Metal Sheet 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
162,MS-1256,Metal Sheet 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
163,MS-1981,Metal Sheet 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
164,MS-2259,Metal Sheet 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
165,MS-2341,Metal Sheet 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
166,MS-2348,Metal Sheet 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
167,MS-6061,Metal Sheet 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
168,MT-1000,Metal Tread Plate,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
169,NI-4127,LL Nipple,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
170,NI-9522,HL Nipple,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
171,PA-187B,Paint - Black,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
172,PA-361R,Paint - Red,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
173,PA-529S,Paint - Silver,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
174,PA-632U,Paint - Blue,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
175,PA-823Y,Paint - Yellow,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
176,PB-6109,Pinch Bolt,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
177,RA-2345,Cup-Shaped Race,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
178,RA-7490,Cone-Shaped Race,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
179,RF-9198,Reflector,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
180,RM-M464,LL Mountain Rim,NA,NULL,435,NULL,NULL,NULL,NULL,Current
181,RM-M692,ML Mountain Rim,NA,NULL,450,NULL,NULL,NULL,NULL,Current
182,RM-M823,HL Mountain Rim,NA,NULL,400,NULL,NULL,NULL,NULL,Current
183,RM-R436,LL Road Rim,NA,NULL,445,NULL,NULL,NULL,NULL,Current
184,RM-R600,ML Road Rim,NA,NULL,450,NULL,NULL,NULL,NULL,Current
185,RM-R800,HL Road Rim,NA,NULL,400,NULL,NULL,NULL,NULL,Current
186,RM-T801,Touring Rim,NA,NULL,460,NULL,NULL,NULL,NULL,Current
187,SA-M198,LL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
188,SA-M237,ML Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
189,SA-M687,HL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
190,SA-R127,LL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
191,SA-R430,ML Road Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
192,SA-R522,HL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
193,SA-T467,LL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
194,SA-T612,ML Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
195,SA-T872,HL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
196,SD-2342,LL Spindle/Axle,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
197,SD-9872,HL Spindle/Axle,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
198,SH-4562,LL Shell,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
199,SH-9312,HL Shell,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
200,SK-9283,Spokes,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
201,SL-0931,Seat Lug,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
202,SM-9087,Stem,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
203,SP-2981,Seat Post,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
204,SR-2098,Steerer,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
205,SS-2985,Seat Stays,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
206,ST-9828,Seat Tube,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
207,TO-2301,Top Tube,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
208,TP-0923,Tension Pulley,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
209,RC-0291,Rear Derailleur Cage,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
210,FR-R92B-58,"HL Road Frame - Black, 58",Black,58,2.24,R ,HL Road Frame,Road Frames,Components,Current
211,FR-R92R-58,"HL Road Frame - Red, 58",Red,58,2.24,R ,HL Road Frame,Road Frames,Components,Current
212,HL-U509-R,"Sport-100 Helmet, Red",Red,NULL,NULL,S ,Sport-100,Helmets,Accessories,Outdate
213,HL-U509-R,"Sport-100 Helmet, Red",Red,NULL,NULL,S ,Sport-100,Helmets,Accessories,Outdate
214,HL-U509-R,"Sport-100 Helmet, Red",Red,NULL,NULL,S ,Sport-100,Helmets,Accessories,Current
215,HL-U509,"Sport-100 Helmet, Black",Black,NULL,NULL,S ,Sport-100,Helmets,Accessories,Outdate
216,HL-U509,"Sport-100 Helmet, Black",Black,NULL,NULL,S ,Sport-100,Helmets,Accessories,Outdate
217,HL-U509,"Sport-100 Helmet, Black",Black,NULL,NULL,S ,Sport-100,Helmets,Accessories,Current
218,SO-B909-M,"Mountain Bike Socks, M",White,M,NULL,M ,Mountain Bike Socks,Socks,Clothing,Outdate
219,SO-B909-L,"Mountain Bike Socks, L",White,L,NULL,M ,Mountain Bike Socks,Socks,Clothing,Outdate
220,HL-U509-B,"Sport-100 Helmet, Blue",Blue,NULL,NULL,S ,Sport-100,Helmets,Accessories,Outdate
221,HL-U509-B,"Sport-100 Helmet, Blue",Blue,NULL,NULL,S ,Sport-100,Helmets,Accessories,Outdate
222,HL-U509-B,"Sport-100 Helmet, Blue",Blue,NULL,NULL,S ,Sport-100,Helmets,Accessories,Current
223,CA-1098,AWC Logo Cap,Multi,NULL,NULL,S ,Cycling Cap,Caps,Clothing,Outdate
224,CA-1098,AWC Logo Cap,Multi,NULL,NULL,S ,Cycling Cap,Caps,Clothing,Outdate
225,CA-1098,AWC Logo Cap,Multi,NULL,NULL,S ,Cycling Cap,Caps,Clothing,Current
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Multi,S,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Outdate
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Multi,S,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Outdate
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Multi,S,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Current
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Multi,M,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Outdate
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Multi,M,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Outdate
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Multi,M,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Current
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Multi,L,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Outdate
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Multi,L,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Outdate
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Multi,L,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Current
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Multi,XL,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Outdate
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Multi,XL,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Outdate
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Multi,XL,NULL,S ,Long-Sleeve Logo Jersey,Jerseys,Clothing,Current
238,FR-R92R-62,"HL Road Frame - Red, 62",Red,62,2.3,R ,HL Road Frame,Road Frames,Components,Outdate
239,FR-R92R-62,"HL Road Frame - Red, 62",Red,62,2.3,R ,HL Road Frame,Road Frames,Components,Outdate
240,FR-R92R-62,"HL Road Frame - Red, 62",Red,62,2.3,R ,HL Road Frame,Road Frames,Components,Current
241,FR-R92R-44,"HL Road Frame - Red, 44",Red,44,2.12,R ,HL Road Frame,Road Frames,Components,Outdate
242,FR-R92R-44,"HL Road Frame - Red, 44",Red,44,2.12,R ,HL Road Frame,Road Frames,Components,Outdate
243,FR-R92R-44,"HL Road Frame - Red, 44",Red,44,2.12,R ,HL Road Frame,Road Frames,Components,Current
244,FR-R92R-48,"HL Road Frame - Red, 48",Red,48,2.16,R ,HL Road Frame,Road Frames,Components,Outdate
245,FR-R92R-48,"HL Road Frame - Red, 48",Red,48,2.16,R ,HL Road Frame,Road Frames,Components,Outdate
246,FR-R92R-48,"HL Road Frame - Red, 48",Red,48,2.16,R ,HL Road Frame,Road Frames,Components,Current
247,FR-R92R-52,"HL Road Frame - Red, 52",Red,52,2.2,R ,HL Road Frame,Road Frames,Components,Outdate
248,FR-R92R-52,"HL Road Frame - Red, 52",Red,52,2.2,R ,HL Road Frame,Road Frames,Components,Outdate
249,FR-R92R-52,"HL Road Frame - Red, 52",Red,52,2.2,R ,HL Road Frame,Road Frames,Components,Current
250,FR-R92R-56,"HL Road Frame - Red, 56",Red,56,2.24,R ,HL Road Frame,Road Frames,Components,Outdate
251,FR-R92R-56,"HL Road Frame - Red, 56",Red,56,2.24,R ,HL Road Frame,Road Frames,Components,Outdate
252,FR-R92R-56,"HL Road Frame - Red, 56",Red,56,2.24,R ,HL Road Frame,Road Frames,Components,Current
253,FR-R38B-58,"LL Road Frame - Black, 58",Black,58,2.46,R ,LL Road Frame,Road Frames,Components,Outdate
254,FR-R38B-58,"LL Road Frame - Black, 58",Black,58,2.46,R ,LL Road Frame,Road Frames,Components,Outdate
255,FR-R38B-58,"LL Road Frame - Black, 58",Black,58,2.46,R ,LL Road Frame,Road Frames,Components,Current
256,FR-R38B-60,"LL Road Frame - Black, 60",Black,60,2.48,R ,LL Road Frame,Road Frames,Components,Outdate
257,FR-R38B-60,"LL Road Frame - Black, 60",Black,60,2.48,R ,LL Road Frame,Road Frames,Components,Outdate
258,FR-R38B-60,"LL Road Frame - Black, 60",Black,60,2.48,R ,LL Road Frame,Road Frames,Components,Current
259,FR-R38B-62,"LL Road Frame - Black, 62",Black,62,2.5,R ,LL Road Frame,Road Frames,Components,Outdate
260,FR-R38B-62,"LL Road Frame - Black, 62",Black,62,2.5,R ,LL Road Frame,Road Frames,Components,Outdate
261,FR-R38B-62,"LL Road Frame - Black, 62",Black,62,2.5,R ,LL Road Frame,Road Frames,Components,Current
262,FR-R38R-44,"LL Road Frame - Red, 44",Red,44,2.32,R ,LL Road Frame,Road Frames,Components,Outdate
263,FR-R38R-44,"LL Road Frame - Red, 44",Red,44,2.32,R ,LL Road Frame,Road Frames,Components,Outdate
264,FR-R38R-48,"LL Road Frame - Red, 48",Red,48,2.36,R ,LL Road Frame,Road Frames,Components,Outdate
265,FR-R38R-48,"LL Road Frame - Red, 48",Red,48,2.36,R ,LL Road Frame,Road Frames,Components,Outdate
266,FR-R38R-52,"LL Road Frame - Red, 52",Red,52,2.4,R ,LL Road Frame,Road Frames,Components,Outdate
267,FR-R38R-52,"LL Road Frame - Red, 52",Red,52,2.4,R ,LL Road Frame,Road Frames,Components,Outdate
268,FR-R38R-58,"LL Road Frame - Red, 58",Red,58,2.46,R ,LL Road Frame,Road Frames,Components,Outdate
269,FR-R38R-58,"LL Road Frame - Red, 58",Red,58,2.46,R ,LL Road Frame,Road Frames,Components,Outdate
270,FR-R38R-60,"LL Road Frame - Red, 60",Red,60,2.48,R ,LL Road Frame,Road Frames,Components,Outdate
