Date Key,Date,Day,WeekNo,Month,MonthShort,MonthNo,Quater,Year
20240324,24-03-2024,Saturday,12,March,Mar,3,1,2024
20240325,25-03-2024,Sunday,13,March,Mar,3,1,2024
20240326,26-03-2024,Monday,13,March,Mar,3,1,2024
20240327,27-03-2024,Tuesday,13,March,Mar,3,1,2024
20240328,28-03-2024,Wednesday,13,March,Mar,3,1,2024
20240329,29-03-2024,Thursday,13,March,Mar,3,1,2024
20240330,30-03-2024,Friday,13,March,Mar,3,1,2024
20240331,31-03-2024,Saturday,13,March,Mar,3,1,2024
20240401,01-04-2024,Sunday,14,April,Apr,4,2,2024
20240402,02-04-2024,Monday,14,April,Apr,4,2,2024
20240403,03-04-2024,Tuesday,14,April,Apr,4,2,2024
20240404,04-04-2024,Wednesday,14,April,Apr,4,2,2024
20240405,05-04-2024,Thursday,14,April,Apr,4,2,2024
20240406,06-04-2024,Friday,14,April,Apr,4,2,2024
20240407,07-04-2024,Saturday,14,April,Apr,4,2,2024
20240408,08-04-2024,Sunday,15,April,Apr,4,2,2024
20240409,09-04-2024,Monday,15,April,Apr,4,2,2024
20240410,10-04-2024,Tuesday,15,April,Apr,4,2,2024
20240411,11-04-2024,Wednesday,15,April,Apr,4,2,2024
20240412,12-04-2024,Thursday,15,April,Apr,4,2,2024
20240413,13-04-2024,Friday,15,April,Apr,4,2,2024
20240414,14-04-2024,Saturday,15,April,Apr,4,2,2024
20240415,15-04-2024,Sunday,16,April,Apr,4,2,2024
20240416,16-04-2024,Monday,16,April,Apr,4,2,2024
20240417,17-04-2024,Tuesday,16,April,Apr,4,2,2024
20240418,18-04-2024,Wednesday,16,April,Apr,4,2,2024
20240419,19-04-2024,Thursday,16,April,Apr,4,2,2024
20240420,20-04-2024,Friday,16,April,Apr,4,2,2024
20240421,21-04-2024,Saturday,16,April,Apr,4,2,2024
20240422,22-04-2024,Sunday,17,April,Apr,4,2,2024
20240423,23-04-2024,Monday,17,April,Apr,4,2,2024
20240424,24-04-2024,Tuesday,17,April,Apr,4,2,2024
20240425,25-04-2024,Wednesday,17,April,Apr,4,2,2024
20240426,26-04-2024,Thursday,17,April,Apr,4,2,2024
20240427,27-04-2024,Friday,17,April,Apr,4,2,2024
20240428,28-04-2024,Saturday,17,April,Apr,4,2,2024
20240429,29-04-2024,Sunday,18,April,Apr,4,2,2024
20240430,30-04-2024,Monday,18,April,Apr,4,2,2024
20240501,01-05-2024,Tuesday,18,May,May,5,2,2024
20240502,02-05-2024,Wednesday,18,May,May,5,2,2024
20240503,03-05-2024,Thursday,18,May,May,5,2,2024
20240504,04-05-2024,Friday,18,May,May,5,2,2024
20240505,05-05-2024,Saturday,18,May,May,5,2,2024
20240506,06-05-2024,Sunday,19,May,May,5,2,2024
20240507,07-05-2024,Monday,19,May,May,5,2,2024
20240508,08-05-2024,Tuesday,19,May,May,5,2,2024
20240509,09-05-2024,Wednesday,19,May,May,5,2,2024
20240510,10-05-2024,Thursday,19,May,May,5,2,2024
20240511,11-05-2024,Friday,19,May,May,5,2,2024
20240512,12-05-2024,Saturday,19,May,May,5,2,2024
20240513,13-05-2024,Sunday,20,May,May,5,2,2024
20240514,14-05-2024,Monday,20,May,May,5,2,2024
20240515,15-05-2024,Tuesday,20,May,May,5,2,2024
20240516,16-05-2024,Wednesday,20,May,May,5,2,2024
20240517,17-05-2024,Thursday,20,May,May,5,2,2024
20240518,18-05-2024,Friday,20,May,May,5,2,2024
20240519,19-05-2024,Saturday,20,May,May,5,2,2024
20240520,20-05-2024,Sunday,21,May,May,5,2,2024
20240521,21-05-2024,Monday,21,May,May,5,2,2024
20240522,22-05-2024,Tuesday,21,May,May,5,2,2024
20240523,23-05-2024,Wednesday,21,May,May,5,2,2024
20240524,24-05-2024,Thursday,21,May,May,5,2,2024
20240525,25-05-2024,Friday,21,May,May,5,2,2024
20240526,26-05-2024,Saturday,21,May,May,5,2,2024
20240527,27-05-2024,Sunday,22,May,May,5,2,2024
20240528,28-05-2024,Monday,22,May,May,5,2,2024
20240529,29-05-2024,Tuesday,22,May,May,5,2,2024
20240530,30-05-2024,Wednesday,22,May,May,5,2,2024
20240531,31-05-2024,Thursday,22,May,May,5,2,2024
20240601,01-06-2024,Friday,22,June,Jun,6,2,2024
20240602,02-06-2024,Saturday,22,June,Jun,6,2,2024
20240603,03-06-2024,Sunday,23,June,Jun,6,2,2024
20240604,04-06-2024,Monday,23,June,Jun,6,2,2024
20240605,05-06-2024,Tuesday,23,June,Jun,6,2,2024
20240606,06-06-2024,Wednesday,23,June,Jun,6,2,2024
20240607,07-06-2024,Thursday,23,June,Jun,6,2,2024
20240608,08-06-2024,Friday,23,June,Jun,6,2,2024
20240609,09-06-2024,Saturday,23,June,Jun,6,2,2024
20240610,10-06-2024,Sunday,24,June,Jun,6,2,2024
20240611,11-06-2024,Monday,24,June,Jun,6,2,2024
20240612,12-06-2024,Tuesday,24,June,Jun,6,2,2024
20240613,13-06-2024,Wednesday,24,June,Jun,6,2,2024
20240614,14-06-2024,Thursday,24,June,Jun,6,2,2024
20240615,15-06-2024,Friday,24,June,Jun,6,2,2024
20240616,16-06-2024,Saturday,24,June,Jun,6,2,2024
20240617,17-06-2024,Sunday,25,June,Jun,6,2,2024
20240618,18-06-2024,Monday,25,June,Jun,6,2,2024
20240619,19-06-2024,Tuesday,25,June,Jun,6,2,2024
20240620,20-06-2024,Wednesday,25,June,Jun,6,2,2024
20240621,21-06-2024,Thursday,25,June,Jun,6,2,2024
20240622,22-06-2024,Friday,25,June,Jun,6,2,2024
20240623,23-06-2024,Saturday,25,June,Jun,6,2,2024
20240624,24-06-2024,Sunday,26,June,Jun,6,2,2024
20240625,25-06-2024,Monday,26,June,Jun,6,2,2024
20240626,26-06-2024,Tuesday,26,June,Jun,6,2,2024
20240627,27-06-2024,Wednesday,26,June,Jun,6,2,2024
20240628,28-06-2024,Thursday,26,June,Jun,6,2,2024
20240629,29-06-2024,Friday,26,June,Jun,6,2,2024
20240630,30-06-2024,Saturday,26,June,Jun,6,2,2024
20240701,01-07-2024,Sunday,27,July,Jul,7,3,2024
20240702,02-07-2024,Monday,27,July,Jul,7,3,2024
20240703,03-07-2024,Tuesday,27,July,Jul,7,3,2024
20240704,04-07-2024,Wednesday,27,July,Jul,7,3,2024
20240705,05-07-2024,Thursday,27,July,Jul,7,3,2024
20240706,06-07-2024,Friday,27,July,Jul,7,3,2024
20240707,07-07-2024,Saturday,27,July,Jul,7,3,2024
20240708,08-07-2024,Sunday,28,July,Jul,7,3,2024
20240709,09-07-2024,Monday,28,July,Jul,7,3,2024
20240710,10-07-2024,Tuesday,28,July,Jul,7,3,2024
20240711,11-07-2024,Wednesday,28,July,Jul,7,3,2024
20240712,12-07-2024,Thursday,28,July,Jul,7,3,2024
20240713,13-07-2024,Friday,28,July,Jul,7,3,2024
20240714,14-07-2024,Saturday,28,July,Jul,7,3,2024
20240715,15-07-2024,Sunday,29,July,Jul,7,3,2024
20240716,16-07-2024,Monday,29,July,Jul,7,3,2024
20240717,17-07-2024,Tuesday,29,July,Jul,7,3,2024
20240718,18-07-2024,Wednesday,29,July,Jul,7,3,2024
20240719,19-07-2024,Thursday,29,July,Jul,7,3,2024
20240720,20-07-2024,Friday,29,July,Jul,7,3,2024
20240721,21-07-2024,Saturday,29,July,Jul,7,3,2024
20240722,22-07-2024,Sunday,30,July,Jul,7,3,2024
20240723,23-07-2024,Monday,30,July,Jul,7,3,2024
20240724,24-07-2024,Tuesday,30,July,Jul,7,3,2024
20240725,25-07-2024,Wednesday,30,July,Jul,7,3,2024
20240726,26-07-2024,Thursday,30,July,Jul,7,3,2024
20240727,27-07-2024,Friday,30,July,Jul,7,3,2024
20240728,28-07-2024,Saturday,30,July,Jul,7,3,2024
20240729,29-07-2024,Sunday,31,July,Jul,7,3,2024
20240730,30-07-2024,Monday,31,July,Jul,7,3,2024
20240731,31-07-2024,Tuesday,31,July,Jul,7,3,2024
20240801,01-08-2024,Wednesday,31,August,Aug,8,3,2024
20240802,02-08-2024,Thursday,31,August,Aug,8,3,2024
20240803,03-08-2024,Friday,31,August,Aug,8,3,2024
20240804,04-08-2024,Saturday,31,August,Aug,8,3,2024
20240805,05-08-2024,Sunday,32,August,Aug,8,3,2024
20240806,06-08-2024,Monday,32,August,Aug,8,3,2024
20240807,07-08-2024,Tuesday,32,August,Aug,8,3,2024
20240808,08-08-2024,Wednesday,32,August,Aug,8,3,2024
20240809,09-08-2024,Thursday,32,August,Aug,8,3,2024
20240810,10-08-2024,Friday,32,August,Aug,8,3,2024
20240811,11-08-2024,Saturday,32,August,Aug,8,3,2024
20240812,12-08-2024,Sunday,33,August,Aug,8,3,2024
20240813,13-08-2024,Monday,33,August,Aug,8,3,2024
20240814,14-08-2024,Tuesday,33,August,Aug,8,3,2024
20240815,15-08-2024,Wednesday,33,August,Aug,8,3,2024
20240816,16-08-2024,Thursday,33,August,Aug,8,3,2024
20240817,17-08-2024,Friday,33,August,Aug,8,3,2024
20240818,18-08-2024,Saturday,33,August,Aug,8,3,2024
20240819,19-08-2024,Sunday,34,August,Aug,8,3,2024
20240820,20-08-2024,Monday,34,August,Aug,8,3,2024
20240821,21-08-2024,Tuesday,34,August,Aug,8,3,2024
20240822,22-08-2024,Wednesday,34,August,Aug,8,3,2024
20240823,23-08-2024,Thursday,34,August,Aug,8,3,2024
20240824,24-08-2024,Friday,34,August,Aug,8,3,2024
20240825,25-08-2024,Saturday,34,August,Aug,8,3,2024
20240826,26-08-2024,Sunday,35,August,Aug,8,3,2024
20240827,27-08-2024,Monday,35,August,Aug,8,3,2024
20240828,28-08-2024,Tuesday,35,August,Aug,8,3,2024
20240829,29-08-2024,Wednesday,35,August,Aug,8,3,2024
20240830,30-08-2024,Thursday,35,August,Aug,8,3,2024
20240831,31-08-2024,Friday,35,August,Aug,8,3,2024
20240901,01-09-2024,Saturday,35,September,Sep,9,3,2024
20240902,02-09-2024,Sunday,36,September,Sep,9,3,2024
20240903,03-09-2024,Monday,36,September,Sep,9,3,2024
20240904,04-09-2024,Tuesday,36,September,Sep,9,3,2024
20240905,05-09-2024,Wednesday,36,September,Sep,9,3,2024
20240906,06-09-2024,Thursday,36,September,Sep,9,3,2024
20240907,07-09-2024,Friday,36,September,Sep,9,3,2024
20240908,08-09-2024,Saturday,36,September,Sep,9,3,2024
20240909,09-09-2024,Sunday,37,September,Sep,9,3,2024
20240910,10-09-2024,Monday,37,September,Sep,9,3,2024
20240911,11-09-2024,Tuesday,37,September,Sep,9,3,2024
20240912,12-09-2024,Wednesday,37,September,Sep,9,3,2024
20240913,13-09-2024,Thursday,37,September,Sep,9,3,2024
20240914,14-09-2024,Friday,37,September,Sep,9,3,2024
20240915,15-09-2024,Saturday,37,September,Sep,9,3,2024
20240916,16-09-2024,Sunday,38,September,Sep,9,3,2024
20240917,17-09-2024,Monday,38,September,Sep,9,3,2024
20240918,18-09-2024,Tuesday,38,September,Sep,9,3,2024
20240919,19-09-2024,Wednesday,38,September,Sep,9,3,2024
20240920,20-09-2024,Thursday,38,September,Sep,9,3,2024
20240921,21-09-2024,Friday,38,September,Sep,9,3,2024
20240922,22-09-2024,Saturday,38,September,Sep,9,3,2024
20240923,23-09-2024,Sunday,39,September,Sep,9,3,2024
20240924,24-09-2024,Monday,39,September,Sep,9,3,2024
20240925,25-09-2024,Tuesday,39,September,Sep,9,3,2024
20240926,26-09-2024,Wednesday,39,September,Sep,9,3,2024
20240927,27-09-2024,Thursday,39,September,Sep,9,3,2024
20240928,28-09-2024,Friday,39,September,Sep,9,3,2024
20240929,29-09-2024,Saturday,39,September,Sep,9,3,2024
20240930,30-09-2024,Sunday,40,September,Sep,9,3,2024
20241001,01-10-2024,Monday,40,October,Oct,10,4,2024
20241002,02-10-2024,Tuesday,40,October,Oct,10,4,2024
20241003,03-10-2024,Wednesday,40,October,Oct,10,4,2024
20241004,04-10-2024,Thursday,40,October,Oct,10,4,2024
20241005,05-10-2024,Friday,40,October,Oct,10,4,2024
20241006,06-10-2024,Saturday,40,October,Oct,10,4,2024
20241007,07-10-2024,Sunday,41,October,Oct,10,4,2024
20241008,08-10-2024,Monday,41,October,Oct,10,4,2024
20241009,09-10-2024,Tuesday,41,October,Oct,10,4,2024
20241010,10-10-2024,Wednesday,41,October,Oct,10,4,2024
20241011,11-10-2024,Thursday,41,October,Oct,10,4,2024
20241012,12-10-2024,Friday,41,October,Oct,10,4,2024
20241013,13-10-2024,Saturday,41,October,Oct,10,4,2024
20241014,14-10-2024,Sunday,42,October,Oct,10,4,2024
20241015,15-10-2024,Monday,42,October,Oct,10,4,2024
20241016,16-10-2024,Tuesday,42,October,Oct,10,4,2024
20241017,17-10-2024,Wednesday,42,October,Oct,10,4,2024
20241018,18-10-2024,Thursday,42,October,Oct,10,4,2024
20241019,19-10-2024,Friday,42,October,Oct,10,4,2024
20241020,20-10-2024,Saturday,42,October,Oct,10,4,2024
20241021,21-10-2024,Sunday,43,October,Oct,10,4,2024
20241022,22-10-2024,Monday,43,October,Oct,10,4,2024
20241023,23-10-2024,Tuesday,43,October,Oct,10,4,2024
20241024,24-10-2024,Wednesday,43,October,Oct,10,4,2024
20241025,25-10-2024,Thursday,43,October,Oct,10,4,2024
20241026,26-10-2024,Friday,43,October,Oct,10,4,2024
20241027,27-10-2024,Saturday,43,October,Oct,10,4,2024
20241028,28-10-2024,Sunday,44,October,Oct,10,4,2024
20241029,29-10-2024,Monday,44,October,Oct,10,4,2024
20241030,30-10-2024,Tuesday,44,October,Oct,10,4,2024
20241031,31-10-2024,Wednesday,44,October,Oct,10,4,2024
20241101,01-11-2024,Thursday,44,November,Nov,11,4,2024
20241102,02-11-2024,Friday,44,November,Nov,11,4,2024
20241103,03-11-2024,Saturday,44,November,Nov,11,4,2024
20241104,04-11-2024,Sunday,45,November,Nov,11,4,2024
20241105,05-11-2024,Monday,45,November,Nov,11,4,2024
20241106,06-11-2024,Tuesday,45,November,Nov,11,4,2024
20241107,07-11-2024,Wednesday,45,November,Nov,11,4,2024
20241108,08-11-2024,Thursday,45,November,Nov,11,4,2024
20241109,09-11-2024,Friday,45,November,Nov,11,4,2024
20241110,10-11-2024,Saturday,45,November,Nov,11,4,2024
20241111,11-11-2024,Sunday,46,November,Nov,11,4,2024
20241112,12-11-2024,Monday,46,November,Nov,11,4,2024
20241113,13-11-2024,Tuesday,46,November,Nov,11,4,2024
20241114,14-11-2024,Wednesday,46,November,Nov,11,4,2024
20241115,15-11-2024,Thursday,46,November,Nov,11,4,2024
20241116,16-11-2024,Friday,46,November,Nov,11,4,2024
20241117,17-11-2024,Saturday,46,November,Nov,11,4,2024
20241118,18-11-2024,Sunday,47,November,Nov,11,4,2024
20241119,19-11-2024,Monday,47,November,Nov,11,4,2024
20241120,20-11-2024,Tuesday,47,November,Nov,11,4,2024
20241121,21-11-2024,Wednesday,47,November,Nov,11,4,2024
20241122,22-11-2024,Thursday,47,November,Nov,11,4,2024
20241123,23-11-2024,Friday,47,November,Nov,11,4,2024
20241124,24-11-2024,Saturday,47,November,Nov,11,4,2024
20241125,25-11-2024,Sunday,48,November,Nov,11,4,2024
20241126,26-11-2024,Monday,48,November,Nov,11,4,2024
20241127,27-11-2024,Tuesday,48,November,Nov,11,4,2024
20241128,28-11-2024,Wednesday,48,November,Nov,11,4,2024
20241129,29-11-2024,Thursday,48,November,Nov,11,4,2024
20241130,30-11-2024,Friday,48,November,Nov,11,4,2024
20241201,01-12-2024,Saturday,48,December,Dec,12,4,2024
20241202,02-12-2024,Sunday,49,December,Dec,12,4,2024
20241203,03-12-2024,Monday,49,December,Dec,12,4,2024
20241204,04-12-2024,Tuesday,49,December,Dec,12,4,2024
20241205,05-12-2024,Wednesday,49,December,Dec,12,4,2024
20241206,06-12-2024,Thursday,49,December,Dec,12,4,2024
20241207,07-12-2024,Friday,49,December,Dec,12,4,2024
20241208,08-12-2024,Saturday,49,December,Dec,12,4,2024
20241209,09-12-2024,Sunday,50,December,Dec,12,4,2024
20241210,10-12-2024,Monday,50,December,Dec,12,4,2024
20241211,11-12-2024,Tuesday,50,December,Dec,12,4,2024
20241212,12-12-2024,Wednesday,50,December,Dec,12,4,2024
20241213,13-12-2024,Thursday,50,December,Dec,12,4,2024
20241214,14-12-2024,Friday,50,December,Dec,12,4,2024
20241215,15-12-2024,Saturday,50,December,Dec,12,4,2024
20241216,16-12-2024,Sunday,51,December,Dec,12,4,2024
20241217,17-12-2024,Monday,51,December,Dec,12,4,2024
20241218,18-12-2024,Tuesday,51,December,Dec,12,4,2024
20241219,19-12-2024,Wednesday,51,December,Dec,12,4,2024
20241220,20-12-2024,Thursday,51,December,Dec,12,4,2024
20241221,21-12-2024,Friday,51,December,Dec,12,4,2024
20241222,22-12-2024,Saturday,51,December,Dec,12,4,2024
20241223,23-12-2024,Sunday,52,December,Dec,12,4,2024
20241224,24-12-2024,Monday,52,December,Dec,12,4,2024
20241225,25-12-2024,Tuesday,52,December,Dec,12,4,2024
20241226,26-12-2024,Wednesday,52,December,Dec,12,4,2024
20241227,27-12-2024,Thursday,52,December,Dec,12,4,2024
20241228,28-12-2024,Friday,52,December,Dec,12,4,2024
20241229,29-12-2024,Saturday,52,December,Dec,12,4,2024
20241230,30-12-2024,Sunday,53,December,Dec,12,4,2024
20241231,31-12-2024,Monday,53,December,Dec,12,4,2024
20250101,01-01-2025,Tuesday,1,January,Jan,1,1,2025
20250102,02-01-2025,Wednesday,1,January,Jan,1,1,2025
20250103,03-01-2025,Thursday,1,January,Jan,1,1,2025
20250104,04-01-2025,Friday,1,January,Jan,1,1,2025
20250105,05-01-2025,Saturday,1,January,Jan,1,1,2025
20250106,06-01-2025,Sunday,2,January,Jan,1,1,2025
20250107,07-01-2025,Monday,2,January,Jan,1,1,2025
20250108,08-01-2025,Tuesday,2,January,Jan,1,1,2025
20250109,09-01-2025,Wednesday,2,January,Jan,1,1,2025
20250110,10-01-2025,Thursday,2,January,Jan,1,1,2025
20250111,11-01-2025,Friday,2,January,Jan,1,1,2025
20250112,12-01-2025,Saturday,2,January,Jan,1,1,2025
20250113,13-01-2025,Sunday,3,January,Jan,1,1,2025
20250114,14-01-2025,Monday,3,January,Jan,1,1,2025
20250115,15-01-2025,Tuesday,3,January,Jan,1,1,2025
20250116,16-01-2025,Wednesday,3,January,Jan,1,1,2025
20250117,17-01-2025,Thursday,3,January,Jan,1,1,2025
20250118,18-01-2025,Friday,3,January,Jan,1,1,2025
20250119,19-01-2025,Saturday,3,January,Jan,1,1,2025
20250120,20-01-2025,Sunday,4,January,Jan,1,1,2025
20250121,21-01-2025,Monday,4,January,Jan,1,1,2025
20250122,22-01-2025,Tuesday,4,January,Jan,1,1,2025
20250123,23-01-2025,Wednesday,4,January,Jan,1,1,2025
20250124,24-01-2025,Thursday,4,January,Jan,1,1,2025
20250125,25-01-2025,Friday,4,January,Jan,1,1,2025
20250126,26-01-2025,Saturday,4,January,Jan,1,1,2025
20250127,27-01-2025,Sunday,5,January,Jan,1,1,2025
20250128,28-01-2025,Monday,5,January,Jan,1,1,2025
20250129,29-01-2025,Tuesday,5,January,Jan,1,1,2025
20250130,30-01-2025,Wednesday,5,January,Jan,1,1,2025
20250131,31-01-2025,Thursday,5,January,Jan,1,1,2025
20250201,01-02-2025,Friday,5,February,Feb,2,1,2025
20250202,02-02-2025,Saturday,5,February,Feb,2,1,2025
20250203,03-02-2025,Sunday,6,February,Feb,2,1,2025
20250204,04-02-2025,Monday,6,February,Feb,2,1,2025
20250205,05-02-2025,Tuesday,6,February,Feb,2,1,2025
20250206,06-02-2025,Wednesday,6,February,Feb,2,1,2025
20250207,07-02-2025,Thursday,6,February,Feb,2,1,2025
20250208,08-02-2025,Friday,6,February,Feb,2,1,2025
20250209,09-02-2025,Saturday,6,February,Feb,2,1,2025
20250210,10-02-2025,Sunday,7,February,Feb,2,1,2025
20250211,11-02-2025,Monday,7,February,Feb,2,1,2025
20250212,12-02-2025,Tuesday,7,February,Feb,2,1,2025
20250213,13-02-2025,Wednesday,7,February,Feb,2,1,2025
20250214,14-02-2025,Thursday,7,February,Feb,2,1,2025
20250215,15-02-2025,Friday,7,February,Feb,2,1,2025
20250216,16-02-2025,Saturday,7,February,Feb,2,1,2025
20250217,17-02-2025,Sunday,8,February,Feb,2,1,2025
20250218,18-02-2025,Monday,8,February,Feb,2,1,2025
20250219,19-02-2025,Tuesday,8,February,Feb,2,1,2025
20250220,20-02-2025,Wednesday,8,February,Feb,2,1,2025
20250221,21-02-2025,Thursday,8,February,Feb,2,1,2025
20250222,22-02-2025,Friday,8,February,Feb,2,1,2025
20250223,23-02-2025,Saturday,8,February,Feb,2,1,2025
20250224,24-02-2025,Sunday,9,February,Feb,2,1,2025
20250225,25-02-2025,Monday,9,February,Feb,2,1,2025
20250226,26-02-2025,Tuesday,9,February,Feb,2,1,2025
20250227,27-02-2025,Wednesday,9,February,Feb,2,1,2025
20250228,28-02-2025,Thursday,9,February,Feb,2,1,2025
20250301,01-03-2025,Friday,9,March,Mar,3,1,2025
20250302,02-03-2025,Saturday,9,March,Mar,3,1,2025
20250303,03-03-2025,Sunday,10,March,Mar,3,1,2025
20250304,04-03-2025,Monday,10,March,Mar,3,1,2025
20250305,05-03-2025,Tuesday,10,March,Mar,3,1,2025
20250306,06-03-2025,Wednesday,10,March,Mar,3,1,2025
20250307,07-03-2025,Thursday,10,March,Mar,3,1,2025
20250308,08-03-2025,Friday,10,March,Mar,3,1,2025
20250309,09-03-2025,Saturday,10,March,Mar,3,1,2025
20250310,10-03-2025,Sunday,11,March,Mar,3,1,2025
20250311,11-03-2025,Monday,11,March,Mar,3,1,2025
20250312,12-03-2025,Tuesday,11,March,Mar,3,1,2025
20250313,13-03-2025,Wednesday,11,March,Mar,3,1,2025
20250314,14-03-2025,Thursday,11,March,Mar,3,1,2025
20250315,15-03-2025,Friday,11,March,Mar,3,1,2025
20250316,16-03-2025,Saturday,11,March,Mar,3,1,2025
20250317,17-03-2025,Sunday,12,March,Mar,3,1,2025
20250318,18-03-2025,Monday,12,March,Mar,3,1,2025
20250319,19-03-2025,Tuesday,12,March,Mar,3,1,2025
20250320,20-03-2025,Wednesday,12,March,Mar,3,1,2025
20250321,21-03-2025,Thursday,12,March,Mar,3,1,2025
20250322,22-03-2025,Friday,12,March,Mar,3,1,2025
20250323,23-03-2025,Saturday,12,March,Mar,3,1,2025
20250324,24-03-2025,Sunday,13,March,Mar,3,1,2025
20250325,25-03-2025,Monday,13,March,Mar,3,1,2025
20250326,26-03-2025,Tuesday,13,March,Mar,3,1,2025
